"trait","model","index","beta","se","lower95","upper95","n","p_val","outcome","strata","p_label","batch"
"osa_lasso_mrs","mdl1_both_covar","13",0.0978380210585554,0.034,0.0311980210585554,0.164478021058555,1522,0.00357880502833068,"sdb_pc1","both","**","batch_2"
"osa_lasso_mrs","mdl2_both_covar","14",0.109224820394988,0.033,0.0445448203949884,0.173904820394988,1500,0.00111187057219138,"sdb_pc1","both","**","batch_2"
"REI3","mdl1_both_covar","1",0.14720653031237,0.025,0.0982065303123698,0.19620653031237,1522,0.0000000073853960609781,"sdb_pc2","both","***","batch_2"
"REI3","mdl2_both_covar","2",0.145653932316828,0.025,0.0966539323168279,0.194653932316828,1500,0.00000000332229320253146,"sdb_pc2","both","***","batch_2"
"log_HB","mdl1_both_covar","3",-0.217244169026684,0.047,-0.309364169026684,-0.125124169026684,1522,0.00000420438795071992,"sdb_pc2","both","***","batch_2"
"log_HB","mdl2_both_covar","4",-0.213750868056647,0.047,-0.305870868056647,-0.121630868056647,1500,0.00000517627944081728,"sdb_pc2","both","***","batch_2"
"sdbpc1_mrs","mdl1_both_covar","5",0.189099168305749,0.046,0.0989391683057487,0.279259168305749,1522,0.000037814292314823,"sdb_pc2","both","***","batch_2"
"sdbpc1_mrs","mdl2_both_covar","6",0.193068850173791,0.046,0.102908850173791,0.283228850173791,1500,0.0000295562133357326,"sdb_pc2","both","***","batch_2"
"sex_sdbpc1_mrs","mdl1_both_covar","7",0.165777469553257,0.042,0.0834574695532574,0.248097469553257,1522,0.0000819363442020912,"sdb_pc2","both","***","batch_2"
"sex_sdbpc1_mrs","mdl2_both_covar","8",0.171045568578649,0.042,0.0887255685786494,0.253365568578649,1500,0.0000495658147513789,"sdb_pc2","both","***","batch_2"
"sex_sdbpc2_mrs","mdl1_both_covar","9",0.0647216835068517,0.039,-0.0117183164931483,0.141161683506852,1522,0.0973423453975872,"sdb_pc2","both","","batch_2"
"sex_sdbpc2_mrs","mdl2_both_covar","10",0.0728267863023176,0.036,0.00226678630231759,0.143386786302318,1500,0.0446254771782307,"sdb_pc2","both","*","batch_2"
"sdbpc2_mrs","mdl1_both_covar","11",0.137961727709382,0.044,0.0517217277093817,0.224201727709382,1522,0.0015448284092561,"sdb_pc2","both","**","batch_2"
"sdbpc2_mrs","mdl2_both_covar","12",0.139709758334907,0.04,0.0613097583349073,0.218109758334907,1500,0.000457144461380325,"sdb_pc2","both","***","batch_2"
"osa_lasso_mrs","mdl1_both_covar","13",0.150545020164476,0.037,0.0780250201644757,0.223065020164476,1522,0.0000566305696000168,"sdb_pc2","both","***","batch_2"
"osa_lasso_mrs","mdl2_both_covar","14",0.150825349478643,0.037,0.0783053494786427,0.223345349478643,1500,0.0000508129121866614,"sdb_pc2","both","***","batch_2"
"REI3","mdl1_both_covar","1",0.594018714835961,0.071,0.454858714835961,0.733178714835961,960,0.0000000000000000531238597997891,"sdb_pc1","female","***","batch_2"
"REI3","mdl2_both_covar","2",0.585077652764112,0.068,0.451797652764112,0.718357652764112,950,0.00000000000000000857262490712708,"sdb_pc1","female","***","batch_2"
"log_HB","mdl1_both_covar","3",0.777224091751434,0.04,0.698824091751434,0.855624091751434,960,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000286696811680969,"sdb_pc1","female","***","batch_2"
"log_HB","mdl2_both_covar","4",0.768656683577932,0.038,0.694176683577932,0.843136683577932,950,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000192084093656316,"sdb_pc1","female","***","batch_2"
"sdbpc1_mrs","mdl1_both_covar","5",0.0938501621415766,0.05,-0.00414983785842342,0.191850162141577,960,0.0625770754663711,"sdb_pc1","female","","batch_2"
"sdbpc1_mrs","mdl2_both_covar","6",0.0780861568055841,0.046,-0.0120738431944159,0.168246156805584,950,0.092790091413708,"sdb_pc1","female","","batch_2"
"sex_sdbpc1_mrs","mdl1_both_covar","7",0.0773336736146737,0.039,0.000893673614673685,0.153773673614674,960,0.0452839303150412,"sdb_pc1","female","*","batch_2"
"sex_sdbpc1_mrs","mdl2_both_covar","8",0.066013066854097,0.037,-0.006506933145903,0.138533066854097,950,0.0751936430895351,"sdb_pc1","female","","batch_2"
"sex_sdbpc2_mrs","mdl1_both_covar","9",0.109402360338411,0.04,0.0310023603384109,0.187802360338411,960,0.00619934267670845,"sdb_pc1","female","**","batch_2"
"sex_sdbpc2_mrs","mdl2_both_covar","10",0.105225511502355,0.04,0.0268255115023553,0.183625511502355,950,0.00825500672220065,"sdb_pc1","female","**","batch_2"
"sdbpc2_mrs","mdl1_both_covar","11",0.112012005014688,0.037,0.0394920050146885,0.184532005014688,960,0.00229367550638735,"sdb_pc1","female","**","batch_2"
"sdbpc2_mrs","mdl2_both_covar","12",0.101950817410046,0.036,0.0313908174100457,0.172510817410046,950,0.00450587335993475,"sdb_pc1","female","**","batch_2"
"osa_lasso_mrs","mdl1_both_covar","13",0.0330121442992162,0.036,-0.0375478557007838,0.103572144299216,960,0.363671140601758,"sdb_pc1","female","","batch_2"
"osa_lasso_mrs","mdl2_both_covar","14",0.0287286989486851,0.035,-0.0398713010513149,0.0973286989486851,950,0.405248243461863,"sdb_pc1","female","","batch_2"
"REI3","mdl1_both_covar","1",0.127914414035998,0.032,0.0651944140359975,0.190634414035998,960,0.0000554649844766185,"sdb_pc2","female","***","batch_2"
"REI3","mdl2_both_covar","2",0.126907643929666,0.032,0.0641876439296656,0.189627643929666,950,0.0000639033778792991,"sdb_pc2","female","***","batch_2"
"log_HB","mdl1_both_covar","3",-0.336492788250009,0.051,-0.436452788250009,-0.236532788250009,960,0.0000000000592151826259423,"sdb_pc2","female","***","batch_2"
"log_HB","mdl2_both_covar","4",-0.334342364421041,0.049,-0.430382364421041,-0.238302364421041,950,0.0000000000130636514899216,"sdb_pc2","female","***","batch_2"
